""Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"1","10500438","104672685","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ","2020-02-14","S - Significant","Corrected During Inspection","",""
"2","10500438","104672685","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","Fail to protect against entry of pests - Sec. 13(1)","2020-02-14","M - Minor","Notice to Comply","",""
"3","10500438","104672685","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2020-02-14","M - Minor","Notice to Comply","",""
"4","10500438","104672685","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","Operate food premise - equipment not constructed to permit maintenance in sanitary condition - Sec. 9","2020-02-14","M - Minor","Notice to Comply","",""
"5","10500438","104672685","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22","2020-02-14","M - Minor","Notice to Comply","",""
"6","10500438","104672685","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","Fail to Ensure the Presence of the Holder of a Valid Food Handlers Certificate - Sec. 545- 157E(1 7)(a)","2020-02-14","NA - Not Applicable","Notice to Comply","",""
"7","10556602","104779113","100% Korean","Food Take Out","4779 STEELES AVE E","43.82529","-79.29867","Pass","2","","2020-10-21","","","",""
"8","10588973","104676929","100% SALVADORENO","Restaurant","612 TRETHEWEY DR","43.69724","-79.4942","Pass","2","","2020-02-21","","","",""
"9","10356847","104662952","1000 VARIETY","Food Store (Convenience/Variety)","1000 PAPE AVE","43.68829","-79.34863","Pass","1","FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ","2020-01-31","M - Minor","Notice to Comply","",""
"10","10715579","104755817","10XTO","Food Take Out","107 PRINCES BLVD","43.63375","-79.41207","Pass","2","","2020-09-23","","","",""
"11","10441981","104672334","10tation Event Catering","Food Caterer","232 NORSEMAN ST","43.63225","-79.52951","Pass","3","","2020-02-14","","","",""
"12","10441981","104769147","10tation Event Catering","Food Caterer","232 NORSEMAN ST","43.63225","-79.52951","Pass","3","","2020-10-26","","","",""
"13","9013060","104678777","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","THERMOMETER IN REFRIGERATION EQUIPMENT NOT EASILY READABLE - SEC. 30(B)    ","2020-02-26","S - Significant","Corrected During Inspection","",""
"14","9013060","104678777","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","FAIL TO ENSURE FOOD HANDLER IN FOOD PREMISE PROTECTS AGAINST CONTAMINATION BY HAIR - SEC.  33(1)(D)","2020-02-26","M - Minor","Corrected During Inspection","",""
"15","10464953","104752229","1810 DANFORTH AVENUE SOCIAL CLUB","Restaurant","1810 DANFORTH AVE","43.68467","-79.31856","Pass","1","OPERATE FOOD PREMISE - FAIL TO EQUIP SANITARY FACILITY WITH SINGLE SERVICE TOWELS OR DRYER - SEC. 25(3)(E)   ","2020-09-16","S - Significant","Corrected During Inspection","",""
"16","10629287","104662083","1871 BERKELEY CHURCH","Banquet Facility","315 QUEEN ST E","43.65519","-79.36597","Pass","3","","2020-01-24","","","",""
"17","10629287","104726302","1871 BERKELEY CHURCH","Banquet Facility","315 QUEEN ST E","43.65519","-79.36597","Pass","3","","2020-07-28","","","",""
"18","10569465","104786142","1915 LANZHOU RAMEN","Restaurant","185 DUNDAS ST W","43.655","-79.38665","Pass","2","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2020-12-10","M - Minor","Notice to Comply","",""
"19","10569465","104786142","1915 LANZHOU RAMEN","Restaurant","185 DUNDAS ST W","43.655","-79.38665","Pass","2","FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C)","2020-12-10","S - Significant","Corrected During Inspection","",""
"20","10447525","104749434","19TH HOLE GRILL","Restaurant","550 CENTENNIAL PARK BLVD","43.65196","-79.59756","Pass","2","FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22","2020-09-11","M - Minor","Notice to Comply","",""
"21","10318628","104666890","19TH HOLE SPORTS BAR AND GRILL","Restaurant","434 ROGERS RD","43.68279","-79.46394","Pass","2","","2020-02-06","","","",""
"22","10495816","104781459","2 4 1 Pizza","Food Take Out","1383 DAVENPORT RD","43.67276","-79.44105","Pass","2","","2020-11-26","","","",""
"23","10487649","104677787","2 BROS CUISINE","Food Take Out","1500 ROYAL YORK RD, UNIT-34","43.69163","-79.53185","Pass","2","","2020-02-25","","","",""
"24","10487649","104795402","2 BROS CUISINE","Food Take Out","1500 ROYAL YORK RD, UNIT-34","43.69163","-79.53185","Pass","2","","2020-12-03","","","",""
"25","9000031","104795792","2-4-1 PIZZA","Food Take Out","759 JANE ST","43.67153","-79.49335","Pass","2","Food premise not maintained to permit cleaning of ceilings - Sec. 7(1)(d) ","2020-12-02","M - Minor","Notice to Comply","",""
"26","9016832","104648942","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22","2020-01-13","M - Minor","Notice to Comply","",""
"27","9016832","104758563","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","","2020-09-29","","","",""
"28","9043776","104757092","2-4-1 PIZZA","Food Take Out","3815 LAKE SHORE BLVD W","43.5922","-79.54258","Pass","2","","2020-09-29","","","",""
"29","10294608","104645420","2-4-1 PIZZA #37","Food Take Out","1055 BLOOR ST W","43.66057","-79.43258","Pass","3","","2020-01-07","","","",""
"30","10559262","104648225","241 PIZZA","Food Take Out","142 PARLIAMENT ST","43.6546","-79.36402","Pass","3","Food premise not maintained with walls in good repair in food-handling room - Sec. 7(1)(g)  ","2020-01-10","M - Minor","Notice to Comply","",""
"31","10604803","104653018","241 PIZZA","Food Take Out","451 PARLIAMENT ST","43.66356","-79.36755","Pass","2","","2020-01-17","","","",""
"32","10633698","104728326","241 PIZZA","Food Take Out","1 YORK GATE BLVD, Unit-144A","43.75851","-79.51944","Pass","2","Operate food premise - equipment not arranged to permit cleaning - Sec. 9","2020-07-21","M - Minor","Notice to Comply","",""
"33","10677386","104660149","241 PIZZA","Food Take Out","1029 PAPE AVE","43.68875","-79.34821","Pass","2","FAIL TO ENSURE FOOD HANDLER IN FOOD PREMISE WEARS CLEAN OUTER GARMENTS - SEC. 33(1)(C) ","2020-01-28","M - Minor","Notice to Comply","",""
"34","10677386","104660149","241 PIZZA","Food Take Out","1029 PAPE AVE","43.68875","-79.34821","Pass","2","FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ","2020-01-28","M - Minor","Notice to Comply","",""
"35","10681139","104657678","241 PIZZA","Food Take Out","235 DIXON RD, Unit-8","43.69669","-79.54392","Pass","2","","2020-02-18","","","",""
"36","10405652","104647299","244 PIZZA & WINGS","Food Take Out","1166 WESTON RD","43.6872","-79.49055","Pass","2","FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ","2020-01-09","M - Minor","Notice to Comply","",""
