"Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"1","9008018","100016035","'K' STORE","Food Store (Convenience/Variety)","99 CARLTON ST","43.66205","-79.37747","Pass","1","","2002-01-18","","","",""
"2","9013060","100109534","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","","2002-01-17","","","",""
"3","9013060","100155622","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","Operator fail to properly wash equipment","2002-05-08","M - Minor","Notice to Comply","",""
"4","9013060","100182252","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","Operator fail to properly wash equipment","2002-05-08","M - Minor","Notice to Comply","",""
"5","9000031","100198762","2-4-1 PIZZA","Food Take Out","759 JANE ST","43.67153","-79.49335","Pass","2","","2002-09-11","","","",""
"6","9000046","100145199","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","Operator fail to properly wash equipment","2002-04-08","M - Minor","Notice to Comply","",""
"7","9000046","100145199","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","OPERATE FOOD PREMISE - FAIL TO EQUIP FACILITY WITH CLOTH ROLLER TOWEL, PAPER TOWELS, SINGLE SERVICE TOWELS OR DRYER O. REG  562/90 SEC. 68(3)(E)","2002-04-08","S - Significant","Corrected During Inspection","",""
"8","9000046","100145199","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","Operator fail to properly wash surfaces in rooms","2002-04-08","M - Minor","Notice to Comply","",""
"9","9000046","100209477","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","","2002-10-01","","","",""
"10","9016832","100119680","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","FAIL TO PROVIDE TOWELS IN FOOD PREPARATION AREA O. REG  562/90 SEC. 20(1)(C)","2002-02-15","S - Significant","Corrected During Inspection","",""
"11","9016832","100119680","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","Operator fail to properly wash equipment","2002-02-15","M - Minor","Notice to Comply","",""
"12","9016832","100119680","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","FAIL TO PROVIDE THERMOMETER IN STORAGE COMPARTMENT O. REG  562/90 SEC. 21","2002-02-15","S - Significant","Corrected During Inspection","",""
"13","9016832","100119680","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","Operator fail to properly wash surfaces in rooms","2002-02-15","M - Minor","Notice to Comply","",""
"14","9016832","100185177","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","","2002-08-02","","","",""
"15","9043776","100151699","2-4-1 PIZZA","Food Take Out","3815 LAKE SHORE BLVD W","43.5922","-79.54258","Pass","2","","2002-04-16","","","",""
"16","9043776","100207337","2-4-1 PIZZA","Food Take Out","3815 LAKE SHORE BLVD W","43.5922","-79.54258","Pass","2","OPERATE FOOD PREMISE - FAIL TO EQUIP FACILITY WITH SOAP OR DETERGENT O. REG  562/90 SEC. 68(3)(C)","2002-09-18","S - Significant","Corrected During Inspection","",""
"17","9043776","100207337","2-4-1 PIZZA","Food Take Out","3815 LAKE SHORE BLVD W","43.5922","-79.54258","Pass","2","Operator fail to provide proper garbage containers","2002-09-18","M - Minor","Notice to Comply","",""
"18","9043776","100207337","2-4-1 PIZZA","Food Take Out","3815 LAKE SHORE BLVD W","43.5922","-79.54258","Pass","2","Operator fail to properly wash surfaces in rooms","2002-09-18","M - Minor","Notice to Comply","",""
"19","9000097","100173344","30 UP CLUB","Private Club","22 DORCHESTER AVE","43.62153","-79.5179","Pass","2","","2002-06-26","","","",""
"20","9003137","100115041","360 RESTAURANT","Restaurant","301 FRONT ST W, CN TOWER","43.64372","-79.38844","Pass","2","","2002-02-05","","","",""
