"Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"1","9008018","100969468","'K' STORE","Food Store (Convenience/Variety)","99 CARLTON ST","43.66205","-79.37747","Pass","1","Operator fail to use proper procedure(s) to ensure food safety","2005-02-02","S - Significant","Notice to Comply","",""
"2","9008018","100969468","'K' STORE","Food Store (Convenience/Variety)","99 CARLTON ST","43.66205","-79.37747","Pass","1","Operator must ensure to provide the Food Safety Inspection Report(s) relating to the currently posted food safety inspection notice when requested by any person. Muncipal Code Chapter 545 Sec. 5G(5)","2005-02-02","NA - Not Applicable","Notice to Comply","",""
"3","9008018","100969468","'K' STORE","Food Store (Convenience/Variety)","99 CARLTON ST","43.66205","-79.37747","Pass","1","Operator fail to provide accurate indicating thermometer(s)","2005-02-02","S - Significant","Notice to Comply","",""
"4","9008018","100969472","'K' STORE","Food Store (Convenience/Variety)","99 CARLTON ST","43.66205","-79.37747","Pass","1","","2005-02-04","","","",""
"5","9348578","101011812","147 ELDER ST INC.","Retirement Homes(Licensed)","147 ELDER ST","43.76273","-79.45402","Pass","3","Operator fail to provide properly equipped mechanical washer","2005-04-13","S - Significant","Notice to Comply","",""
"6","9348578","101011813","147 ELDER ST INC.","Retirement Homes(Licensed)","147 ELDER ST","43.76273","-79.45402","Pass","3","","2005-04-14","","","",""
"7","9348578","101102930","147 ELDER ST INC.","Retirement Homes(Licensed)","147 ELDER ST","43.76273","-79.45402","Pass","3","","2005-08-18","","","",""
"8","9348578","101173566","147 ELDER ST INC.","Retirement Homes(Licensed)","147 ELDER ST","43.76273","-79.45402","Pass","3","","2005-12-22","","","",""
"9","9013060","100995959","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","Operator fail to provide proper equipment","2005-03-16","M - Minor","Notice to Comply","",""
"10","9013060","101056525","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","","2005-06-22","","","",""
"11","9013060","101128159","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","","2005-10-05","","","",""
"12","9000031","101006965","2-4-1 PIZZA","Food Take Out","759 JANE ST","43.67153","-79.49335","Pass","2","","2005-04-05","","","",""
"13","9000031","101138731","2-4-1 PIZZA","Food Take Out","759 JANE ST","43.67153","-79.49335","Pass","2","","2005-11-03","","","",""
"14","9000046","101039140","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","Operator fail to properly maintain rooms","2005-05-27","M - Minor","Notice to Comply","",""
"15","9000046","101039140","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","Operator fail to provide proper garbage containers","2005-05-27","M - Minor","Notice to Comply","",""
"16","9000046","101039140","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","Operator fail to properly wash equipment","2005-05-27","M - Minor","Notice to Comply","",""
"17","9000046","101039140","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","Operator fail to properly wash surfaces in rooms","2005-05-27","M - Minor","Notice to Comply","",""
"18","9000046","101102022","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","Operator fail to properly wash equipment","2005-08-23","M - Minor","Notice to Comply","",""
"19","9000046","101102022","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","Operator fail to provide proper garbage containers","2005-08-23","M - Minor","Notice to Comply","",""
"20","9000046","101102022","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","Food handler fail to wear headgear","2005-08-23","M - Minor","Notice to Comply","",""
"21","9016832","100991146","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","OPERATOR FAIL TO ENSURE CHIPPED UTENSIL NOT USED IN FOOD HANDLING O. REG  562/90 SEC. 59(B)","2005-03-08","S - Significant","Corrected During Inspection","",""
"22","9016832","100991146","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","OPERATOR FAIL TO ENSURE COVER WILL PREVENT CONTAMINATION OR ADULTERATION O. REG  562/90 SEC. 59(C)(II)","2005-03-08","S - Significant","Corrected During Inspection","",""
"23","9016832","100991146","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","Operator fail to properly wash surfaces in rooms","2005-03-08","M - Minor","Notice to Comply","",""
"24","9016832","100991146","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","Operator fail to properly wash equipment","2005-03-08","M - Minor","Notice to Comply","",""
"25","9016832","100991146","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","FAIL TO PROVIDE TOWELS IN FOOD PREPARATION AREA O. REG  562/90 SEC. 20(1)(C)","2005-03-08","S - Significant","Corrected During Inspection","",""
