"Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"1","9013060","100026119","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","Maintain hazardous foods at internal temperature between 4 C and 60 C O. Reg  562/90 Sec. 33","2001-02-15","C - Crucial","Notice to Comply","",""
"2","9013060","100026119","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","Operate food premise maintained in manner adversely affecting sanitary condition O. Reg  562/90 Sec. 11(a)(ii)","2001-02-15","C - Crucial","Notice to Comply","",""
"3","9013060","100026119","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","OPERATE FOOD PREMISE - FAIL TO EQUIP FACILITY WITH CLOTH ROLLER TOWEL, PAPER TOWELS, SINGLE SERVICE TOWELS OR DRYER O. REG  562/90 SEC. 68(3)(E)","2001-02-15","S - Significant","Notice to Comply","",""
"4","9013060","100026119","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","Operator fail to ensure facility surface washed as necessary O. Reg  562/90 Sec. 59(g)","2001-02-15","S - Significant","Notice to Comply","",""
"5","9013060","100043104","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","","2001-02-20","","","",""
"6","9013060","100057927","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","Operate mobile preparation premises - access door not solid O. Reg  562/90 Sec. 5(2)(d)","2001-01-15","M - Minor","Notice to Comply","",""
"7","9013060","100057929","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","","2001-01-22","","","",""
"8","9000031","100000061","2-4-1 PIZZA","Food Take Out","759 JANE ST","43.67153","-79.49335","Pass","2","","2001-01-26","","","",""
"9","9000031","100083460","2-4-1 PIZZA","Food Take Out","759 JANE ST","43.67153","-79.49335","Pass","2","","2001-10-16","","","",""
"10","9000046","100000091","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","FAIL TO PROVIDE SUFFICIENT GARBAGE CONTAINERS O. REG  562/90 SEC. 20(1)(E)","2001-03-15","S - Significant","Corrected During Inspection","",""
"11","9000046","100000091","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","FAIL TO PROVIDE SOAP OR DETERGENT IN FOOD PREPARATION AREA O. REG  562/90 SEC. 20(1)(C)","2001-03-15","S - Significant","Corrected During Inspection","",""
"12","9000046","100000091","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","Operate food premise - fail to keep facility clean O. Reg  562/90 Sec. 68(2)(b)","2001-03-15","M - Minor","Notice to Comply","",""
"13","9000046","100000091","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","Operator fail to ensure floor of food-handling room kept clean O. Reg  562/90 Sec. 59(h)","2001-03-15","M - Minor","Notice to Comply","",""
"14","9000046","100082387","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","","2001-10-10","","","",""
"15","9016832","100033663","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","Operator fail to ensure floor of food-handling room kept clean O. Reg  562/90 Sec. 59(h)","2001-04-03","M - Minor","Notice to Comply","",""
"16","9016832","100092631","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","FAIL TO PROVIDE SOAP OR DETERGENT IN FOOD PREPARATION AREA O. REG  562/90 SEC. 20(1)(C)","2001-11-09","S - Significant","Corrected During Inspection","",""
"17","9016832","100092631","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","Operator fail to properly wash equipment","2001-11-09","M - Minor","Notice to Comply","",""
"18","9000097","100000193","30 UP CLUB","Private Club","22 DORCHESTER AVE","43.62153","-79.5179","Pass","2","","2001-07-04","","","",""
"19","9003137","100006273","360 RESTAURANT","Restaurant","301 FRONT ST W, CN TOWER","43.64372","-79.38844","Pass","2","","2001-01-18","","","",""
"20","9003137","100060980","360 RESTAURANT","Restaurant","301 FRONT ST W, CN TOWER","43.64372","-79.38844","Pass","2","","2001-07-04","","","",""
"21","9003137","100087132","360 RESTAURANT","Restaurant","301 FRONT ST W, CN TOWER","43.64372","-79.38844","Pass","2","","2001-10-24","","","",""
"22","9000116","100000231","521 CAFE","Restaurant","521 DANFORTH AVE","43.67804","-79.34821","Pass","1","","2001-07-16","","","",""
"23","9000144","100000287","7 WEST CAFE","Restaurant","7 CHARLES ST W","43.6685","-79.38669","Pass","2","FAIL TO PROVIDE THERMOMETER IN STORAGE COMPARTMENT O. REG  562/90 SEC. 21","2001-04-17","S - Significant","Corrected During Inspection","",""
"24","9000144","100080528","7 WEST CAFE","Restaurant","7 CHARLES ST W","43.6685","-79.38669","Pass","2","","2001-10-01","","","",""
"25","9013817","100027633","7-ELEVEN","Food Store (Convenience/Variety)","1730 BLOOR ST W, Unit-1","43.65493","-79.45886","Pass","2","Operate food premise - fail to keep facility clean O. Reg  562/90 Sec. 68(2)(b)","2001-07-25","M - Minor","Notice to Comply","",""
"26","9013817","100027633","7-ELEVEN","Food Store (Convenience/Variety)","1730 BLOOR ST W, Unit-1","43.65493","-79.45886","Pass","2","OPERATE FOOD PREMISE - FAIL TO EQUIP FACILITY WITH CLOTH ROLLER TOWEL, PAPER TOWELS, SINGLE SERVICE TOWELS OR DRYER O. REG  562/90 SEC. 68(3)(E)","2001-07-25","S - Significant","Corrected During Inspection","",""
"27","9013819","100027637","7-ELEVEN","Supermarket","883 DUNDAS ST W","43.65107","-79.4111","Pass","2","","2001-10-24","","","",""
"28","9013822","100027643","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","FAIL TO PROVIDE SOAP OR DETERGENT IN FOOD PREPARATION AREA O. REG  562/90 SEC. 20(1)(C)","2001-01-10","S - Significant","Notice to Comply","",""
"29","9013822","100027643","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","Operate food premise - fail to keep facility clean O. Reg  562/90 Sec. 68(2)(b)","2001-01-10","M - Minor","Notice to Comply","",""
"30","9013822","100027643","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","OPERATE FOOD PREMISE - FAIL TO EQUIP FACILITY WITH TOILET PAPER O. REG  562/90 SEC. 68(3)(A)","2001-01-10","S - Significant","Notice to Comply","",""
"31","9013822","100027643","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","OPERATE FOOD PREMISE--DRAINAGE RACKS NOT OF CORROSION-RESISTANT MATERIAL O. REG  562/90 SEC. 72(1)(B)(III)","2001-01-10","S - Significant","Notice to Comply","",""
"32","9013822","100027643","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","Fail to provide hand washing basin in food preparation area O. Reg  562/90 Sec. 20(1)(c)","2001-01-10","S - Significant","Summons and Health Hazard Order","",""
"33","9013822","100036145","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","OPERATE FOOD PREMISE - FAIL TO EQUIP FACILITY WITH CLOTH ROLLER TOWEL, PAPER TOWELS, SINGLE SERVICE TOWELS OR DRYER O. REG  562/90 SEC. 68(3)(E)","2001-01-12","S - Significant","Notice to Comply","",""
"34","9013822","100036145","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","FAIL TO PROVIDE SUFFICIENT GARBAGE CONTAINERS O. REG  562/90 SEC. 20(1)(E)","2001-01-12","S - Significant","Notice to Comply","",""
"35","9013822","100036145","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","Fail to sanitize utensils after rinsing O. Reg  562/90 Sec. 73(d)","2001-01-12","S - Significant","Notice to Comply","",""
"36","9013822","100036145","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","Operator fail to ensure floor of food-handling room kept clean O. Reg  562/90 Sec. 59(h)","2001-01-12","M - Minor","Notice to Comply","",""
"37","9013822","100042008","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","Fail to remove garbage when necessary to maintain sanitary condition O. Reg  562/90 Sec. 57(1)","2001-02-27","S - Significant","Notice to Comply","",""
"38","9013822","100042011","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","","2001-03-01","","","",""
"39","9013822","100042431","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","","2001-01-14","","","",""
"40","9013822","100046643","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","Offer for sale hazardous foods at internal temperature between 4 C and 60 C O. Reg  562/90 Sec. 33","2001-03-28","C - Crucial","Notice to Comply","",""
"41","9013822","100046643","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","FAIL TO PROVIDE TOWELS IN FOOD PREPARATION AREA O. REG  562/90 SEC. 20(1)(C)","2001-03-28","S - Significant","Corrected During Inspection","",""
"42","9013822","100046643","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","FAIL TO PROVIDE SUFFICIENT GARBAGE CONTAINERS O. REG  562/90 SEC. 20(1)(E)","2001-03-28","S - Significant","Notice to Comply","",""
"43","9013822","100046645","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","Offer for sale hazardous foods at internal temperature between 4 C and 60 C O. Reg  562/90 Sec. 33","2001-04-01","C - Crucial","Notice to Comply","",""
"44","9013822","100046723","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","Offer for sale hazardous foods at internal temperature between 4 C and 60 C O. Reg  562/90 Sec. 33","2001-03-30","C - Crucial","Summons and Health Hazard Order","",""
"45","9013822","100070072","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","","2001-04-03","","","",""
"46","9013822","100082956","7-ELEVEN","Food Take Out","3355 DUNDAS ST W","43.66527","-79.48241","Pass","2","","2001-10-11","","","",""
"47","9013837","100027673","7-ELEVEN","Food Store (Convenience/Variety)","3587 BATHURST ST","43.73255","-79.43246","Pass","2","Operator fail to maintain hazardous food(s) at 4C (40F) or colder.","2001-11-13","C - Crucial","Notice to Comply","",""
"48","9013837","100027673","7-ELEVEN","Food Store (Convenience/Variety)","3587 BATHURST ST","43.73255","-79.43246","Pass","2","Operator fail to properly maintain rooms","2001-11-13","M - Minor","Notice to Comply","",""
"49","9013837","100093187","7-ELEVEN","Food Store (Convenience/Variety)","3587 BATHURST ST","43.73255","-79.43246","Pass","2","","2001-11-15","","","",""
"50","9030457","100096661","7-ELEVEN","Food Store (Convenience/Variety)","260 COLLEGE ST","43.6581","-79.39977","Pass","2","","2001-11-25","","","",""
"51","9000174","100000347","A & A CHILD CARE CENTRE","Child Care - Food Preparation","3380 MIDLAND AVE","43.8093","-79.29035","Pass","3","","2001-05-09","","","",""
"52","9000174","100069889","A & A CHILD CARE CENTRE","Child Care - Food Preparation","3380 MIDLAND AVE","43.8093","-79.29035","Pass","3","","2001-09-05","","","",""
"53","9018891","100043787","A & N TAKE-OUT","Food Take Out","1427 QUEEN ST W","43.64049","-79.43708","Pass","2","FAIL TO PROVIDE THERMOMETER IN STORAGE COMPARTMENT O. REG  562/90 SEC. 21","2001-01-26","S - Significant","Corrected During Inspection","",""
"54","9018891","100043787","A & N TAKE-OUT","Food Take Out","1427 QUEEN ST W","43.64049","-79.43708","Pass","2","Operator fail to ensure room kept free from materials not regularly used O. Reg  562/90 Sec. 59(e)(i)","2001-01-26","M - Minor","Notice to Comply","",""
"55","9018891","100055923","A & N TAKE-OUT","Food Take Out","1427 QUEEN ST W","43.64049","-79.43708","Pass","2","FAIL TO PROVIDE TOWELS IN FOOD PREPARATION AREA O. REG  562/90 SEC. 20(1)(C)","2001-05-31","S - Significant","Notice to Comply","",""
"56","9018891","100055923","A & N TAKE-OUT","Food Take Out","1427 QUEEN ST W","43.64049","-79.43708","Pass","2","Operator fail to ensure floor of food-handling room kept clean O. Reg  562/90 Sec. 59(h)","2001-05-31","M - Minor","Notice to Comply","",""
"57","9018891","100055923","A & N TAKE-OUT","Food Take Out","1427 QUEEN ST W","43.64049","-79.43708","Pass","2","Fail to dispose of liquid waste in sanitary manner O. Reg  562/90 Sec. 57(3)","2001-05-31","S - Significant","Notice to Comply","",""
"58","9018891","100055923","A & N TAKE-OUT","Food Take Out","1427 QUEEN ST W","43.64049","-79.43708","Pass","2","USE UTENSILS NOT FREE FROM CRACKS IN CONTACT WITH FOOD O. REG  562/90 SEC. 19(1)(B)","2001-05-31","S - Significant","Notice to Comply","",""
"59","9018891","100055923","A & N TAKE-OUT","Food Take Out","1427 QUEEN ST W","43.64049","-79.43708","Pass","2","Fail to sanitize utensils after rinsing O. Reg  562/90 Sec. 73(d)","2001-05-31","S - Significant","Notice to Comply","",""
"60","9018891","100055925","A & N TAKE-OUT","Food Take Out","1427 QUEEN ST W","43.64049","-79.43708","Pass","2","Operator fail to ensure floor of food-handling room kept clean O. Reg  562/90 Sec. 59(h)","2001-06-01","M - Minor","Notice to Comply","",""
"61","9018891","100102533","A & N TAKE-OUT","Food Take Out","1427 QUEEN ST W","43.64049","-79.43708","Pass","2","Operator fail to maintain hazardous foods at 60C (140F) or hotter","2001-12-14","C - Crucial","Notice to Comply","",""
"62","9018891","100102533","A & N TAKE-OUT","Food Take Out","1427 QUEEN ST W","43.64049","-79.43708","Pass","2","Operator fail to properly maintain equipment","2001-12-14","S - Significant","Notice to Comply","",""
"63","9018891","100102534","A & N TAKE-OUT","Food Take Out","1427 QUEEN ST W","43.64049","-79.43708","Pass","2","","2001-12-17","","","",""
"64","9000198","100000395","A & W","Food Court Vendor","250 THE EAST MALL, UNIT-222","43.63279","-79.55468","Pass","2","","2001-06-04","","","",""
