"Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"1","10325728","102258133","1-SATELLITE KITCHEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","Operator fail to ensure food is not contaminated/adulterated","2010-04-12","C - Crucial","Notice to Comply","",""
"2","10325728","102258133","1-SATELLITE KITCHEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","Operator fail to maintain hazardous food(s) at 4C (40F) or colder.","2010-04-12","C - Crucial","Notice to Comply","",""
"3","10325728","102258133","1-SATELLITE KITCHEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","Operator fail to properly wash equipment","2010-04-12","M - Minor","Notice to Comply","",""
"4","10325728","102258135","1-SATELLITE KITCHEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2010-04-13","","","",""
"5","10325728","102335557","1-SATELLITE KITCHEN","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2010-08-11","","","",""
"6","10356847","102196251","1000 VARIETY","Food Store (Convenience/Variety)","1000 PAPE AVE","43.68829","-79.34863","Pass","1","OPERATE FOOD PREMISE - FAIL TO EQUIP FACILITY WITH SOAP OR DETERGENT O. REG  562/90 SEC. 68(3)(C)","2010-01-05","S - Significant","Corrected During Inspection","",""
"7","10356847","102196251","1000 VARIETY","Food Store (Convenience/Variety)","1000 PAPE AVE","43.68829","-79.34863","Pass","1","FAIL TO PROVIDE THERMOMETER IN STORAGE COMPARTMENT O. REG  562/90 SEC. 21","2010-01-05","S - Significant","Corrected During Inspection","",""
"8","10356847","102196251","1000 VARIETY","Food Store (Convenience/Variety)","1000 PAPE AVE","43.68829","-79.34863","Pass","1","Operator fail to properly maintain rooms","2010-01-05","M - Minor","Notice to Comply","",""
"9","10365046","102260331","106 - BALL PARKS FAVOURITES","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2010-04-12","","","",""
"10","10365046","102335663","106 - BALL PARKS FAVOURITES","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2010-08-11","","","",""
"11","10334786","102256635","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","Operator fail to maintain hazardous food(s) at 4C (40F) or colder.","2010-04-12","C - Crucial","Notice to Comply","",""
"12","10334786","102256635","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","Operator fail to maintain hazardous foods at 60C (140F) or hotter","2010-04-12","C - Crucial","Notice to Comply","",""
"13","10334786","102256635","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","Fail to provide hot and cold water for hand washing in food preparation area O. Reg  562/90 Sec. 20(1)(c)","2010-04-12","S - Significant","Notice to Comply","",""
"14","10334786","102256635","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","Employee fail to wash hands when required","2010-04-12","C - Crucial","Notice to Comply","",""
"15","10334786","102257180","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2010-04-13","","","",""
"16","10334786","102335626","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2010-08-11","","","",""
"17","10334786","102366309","109 - RIGHT FIELD MARKET","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2010-09-28","","","",""
"18","10300086","102258030","115-PIZZA NOVA","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2010-04-12","","","",""
"19","10300086","102335493","115-PIZZA NOVA","Food Take Out","1 BLUE JAYS WAY","43.64168","-79.39012","Pass","2","","2010-08-11","","","",""
