"Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"1","9348578","100585088","147 ELDER ST INC.","Retirement Homes(Licensed)","147 ELDER ST","43.76273","-79.45402","Pass","3","","2003-10-21","","","",""
"2","9013060","100250367","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","","2003-02-27","","","",""
"3","9013060","100272667","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","","2003-02-27","","","",""
"4","9013060","100380090","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","","2003-08-07","","","",""
"5","9013060","100667519","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","","2003-11-17","","","",""
"6","9000031","100276667","2-4-1 PIZZA","Food Take Out","759 JANE ST","43.67153","-79.49335","Pass","2","","2003-02-20","","","",""
"7","9000031","100384527","2-4-1 PIZZA","Food Take Out","759 JANE ST","43.67153","-79.49335","Pass","2","","2003-08-11","","","",""
"8","9000046","100265013","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","OPERATE FOOD PREMISE - FAIL TO EQUIP FACILITY WITH TOILET PAPER O. REG  562/90 SEC. 68(3)(A)","2003-02-12","S - Significant","Corrected During Inspection","",""
"9","9000046","100460062","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","","2003-09-05","","","",""
"10","9016832","100252200","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","FAIL TO PROVIDE TOWELS IN FOOD PREPARATION AREA O. REG  562/90 SEC. 20(1)(C)","2003-01-16","S - Significant","Corrected During Inspection","",""
"11","9016832","100252200","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","FAIL TO PROVIDE THERMOMETER IN STORAGE COMPARTMENT O. REG  562/90 SEC. 21","2003-01-16","S - Significant","Corrected During Inspection","",""
"12","9016832","100252200","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","Operator fail to properly wash equipment","2003-01-16","M - Minor","Notice to Comply","",""
"13","9016832","100371228","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","Operator fail to properly wash surfaces in rooms","2003-07-02","M - Minor","Notice to Comply","",""
"14","9043776","100296780","2-4-1 PIZZA","Food Take Out","3815 LAKE SHORE BLVD W","43.5922","-79.54258","Pass","2","Food handler fail to wear headgear","2003-04-23","M - Minor","Notice to Comply","",""
"15","9043776","100296780","2-4-1 PIZZA","Food Take Out","3815 LAKE SHORE BLVD W","43.5922","-79.54258","Pass","2","FAIL TO PROVIDE THERMOMETER IN STORAGE COMPARTMENT O. REG  562/90 SEC. 21","2003-04-23","S - Significant","Corrected During Inspection","",""
"16","9043776","100296780","2-4-1 PIZZA","Food Take Out","3815 LAKE SHORE BLVD W","43.5922","-79.54258","Pass","2","Operator fail to properly maintain rooms","2003-04-23","M - Minor","Notice to Comply","",""
"17","9043776","100374820","2-4-1 PIZZA","Food Take Out","3815 LAKE SHORE BLVD W","43.5922","-79.54258","Pass","2","","2003-07-22","","","",""
"18","9003137","100253897","360 RESTAURANT","Restaurant","301 FRONT ST W, CN TOWER","43.64372","-79.38844","Pass","2","","2003-01-20","","","",""
"19","9003137","100349622","360 RESTAURANT","Restaurant","301 FRONT ST W, CN TOWER","43.64372","-79.38844","Pass","2","","2003-06-23","","","",""
"20","9003137","100468401","360 RESTAURANT","Restaurant","301 FRONT ST W, CN TOWER","43.64372","-79.38844","Pass","2","","2003-09-08","","","",""
"21","9000116","100225952","521 CAFE","Restaurant","521 DANFORTH AVE","43.67804","-79.34821","Pass","1","Operator fail to properly maintain equipment(NON-FOOD)","2003-02-07","M - Minor","Notice to Comply","",""
